"District","% Enr. in single-teacher schools ","% Enrolment in Govt. schools ","% Govt. schools providing MDM ","% Govt. schools with kitchen-shed ","% Govt. schools with SMC ","% No female tch schools (tch>=2) ","% Schools with boundary wall ","% Schools with boys toilet ","% Schools with computer ","% Schools with drinking water ","% Schools with electricity ","% Schools with girls toilet ","% Schools with playground ","% Schools with ramp, if required ","% Single-classroom schools ","% Single-teacher schools "
"Araria",6.5,91.8,87.5,63.2,92.7,17.5,55.2,73.7,5.3,86.4,6.8,74,34.2,87.2,1,11.1
"Arwal",3.4,96.2,98.3,67.1,98.9,13.9,55.6,83.7,6.4,92.9,6.9,83.8,22,91.3,3.3,7.3
"Aurangabad",4,96.4,97.1,69.4,93.6,15.3,59,70.7,2,95,5.8,74,25.7,80.4,3.4,8.9
"Banka",8,95.1,92.4,24,94.4,23.9,49.6,75.6,2.4,90.5,5.7,76.8,33.2,61.7,2.7,14.6
"Begusarai",1.6,96.6,94.6,33.4,96.1,8.4,54.4,98.2,3.9,96.1,5.3,97.9,26,77.9,1.8,4.5
"Bhagalpur",2.5,93.3,92.4,46.6,92.3,13.1,55.3,58,2,89.2,5.6,65.2,33.5,76.1,1.8,3.3
"Bhojpur",1.8,91.9,97.4,63.2,92.1,15.6,55.6,52.5,4.4,88.1,5.5,82.6,21.1,84,1.5,4
"Buxar",2.4,98,98.2,69.5,98.3,15.8,61.9,82.1,2.3,92.3,2.8,80,24.1,87.1,1.6,6.1
"Darbhanga",3.6,91.4,97.3,54.8,97.2,15,53.6,52.6,2.8,91.7,9.4,60,34.3,75.2,2.4,7.2
"Gaya",5.5,97.5,98.2,72.9,88.1,17.4,51.8,65.3,2.6,92.3,5.8,71.1,35.6,36.4,1.9,9.9
"Gopalganj",0.8,93,92.6,53.3,92.5,9,60.6,45.6,6,92.4,11.5,71,33.7,83.5,0.7,2.2
"Jamui",3.4,94,94.3,40.7,93.2,18.8,39.3,49,5,80.9,8.6,56.8,35.9,79.3,1.8,6.6
"Jehanabad",3.5,92.8,96.6,73.6,85.8,12.9,62.4,88,7.3,95.2,9.9,89.7,29.8,83.4,2,7.3
"Bhabua",2.6,95.1,98.6,62.7,95.3,12.6,60.2,88,4.2,94.1,10.9,89.3,38.2,85.5,1.4,6.2
"Katihar",0.5,91.1,96,44,95.5,15.9,51.7,72,3.8,98.5,5.4,66.7,24.9,75,3,1
"Khagaria",3.8,97.8,98.5,61.7,97.2,11.5,51.4,82.1,1.6,94.3,3.7,82.9,23.1,83.9,1.4,7.8
"Kishanganj",2.4,83.7,88,56.2,91.8,28.8,45.4,74.2,3.8,89.9,9,73.9,29.2,77.4,0.8,4.9
"Lakhisarai",3,96.4,90.2,56.6,96.6,8.6,44.9,78.1,4.2,80.2,7.6,78.3,28.1,66.7,1.8,6.8
"Madhepura",4.4,96.9,97.4,56.8,95.9,11.5,40.8,54.8,2.9,97,8.9,79.8,30.3,53.9,1.4,8.7
"Madhubani",10,88.6,98.5,34.8,96.2,13.4,57.4,86.5,2.1,95.1,6.6,94.6,43.5,96.4,2.9,14
"Munger",7.3,94.8,95.8,42,99.1,12.8,55,75.8,4.6,88.1,6.9,86.7,20.9,86,4.2,15.7
"Muzaffarpur",2.6,94.3,97.1,42.8,94.2,11.6,47.4,78.5,2.8,94.6,6.1,81.2,48.6,91.4,2.8,5.9
"Nalanda",2.4,89.1,98,61.5,94.7,12.6,62.6,94.7,9.8,93.1,15.2,88.2,36.9,58.5,4.1,4.3
"Nawada",2.6,92.8,97.7,69,83.7,11.1,50.2,70.1,7.3,89,9.7,68.9,35.5,72.7,1.7,4.3
"Pashchim Champaran",2.5,93.1,95.5,50.5,90.6,16,48.8,53.8,4.1,90.9,5,59.1,43.6,87.6,1.3,5.1
"Patna",4.1,88.2,97.7,32.1,89.9,17,61.6,85.6,8.9,95.4,17.4,86.1,30.9,78.9,9,8.5
"Purba Champaran",1.3,96.8,93.2,30.5,91.9,11.4,50.6,59.7,1.9,88.8,4.9,58.7,41.9,87.7,1.1,3
"Purnia",8,91.3,96.6,52.5,96.2,19.1,58.3,99.4,1.8,99.7,7.3,49.5,23.8,84.2,0.7,15.5
"Rohtas",4,88,95.9,70.7,93.9,12.9,56.8,83.6,8.4,97,15.6,84.2,37.3,76.7,2.7,9.3
"Saharsa",2.5,94.1,94.8,43.1,89.1,10.3,42.1,65.2,6.3,89.7,10.4,65.5,34.3,73.9,1.1,4.6
"Samastipur",2.6,96,96.1,51.5,95.7,9.7,41.9,69.5,4.6,88.2,7.6,74.4,41.3,87.5,2.9,5.6
"Saran",1.7,97.3,94.6,50.3,91.2,11.7,57.1,87.2,4,91.8,5.2,89.4,26.2,80.9,3,4.4
"Sheikhpura",6.3,93.4,99.2,78.4,98.3,14.5,52.8,80.2,3,86.8,7.7,80.5,21.1,86.2,5.5,12.4
"Sheohar",3.6,97.4,94.6,38.3,93.2,12.7,40.4,71.4,7.5,85,3.4,64.4,42,56.9,0.5,8.2
"Sitamarhi",4.7,95.5,90.6,38.5,92,12.3,46.8,76,3.5,98,5.9,77.1,42.1,79,1.6,9.9
"Siwan",0.2,91.1,96.4,44.4,95,7.1,48,78.2,9.2,94,13.1,70.5,32.8,76.7,1.6,0.3
"Supaul",3,98.5,95.7,49.5,92.7,17.1,47.7,60.3,1.5,96.3,2.7,62.5,34.3,0,1.1,5.9
"Vaishali",2.3,93.3,97.8,20.9,92.5,10.5,59.3,85.8,8.3,89.5,9,86.5,42.2,90.2,4.7,6.4
