"Response.No","Tab.No","Survey.Date","Survey Start Date","Survey End Date","AC Name","Mandal Name","Village Name","no_data_flag"
444,1,2015-07-09,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
455,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
1542,1,2015-06-28,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
2321,1,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
2744,1,2015-07-01,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
3830,1,2015-06-24,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
4694,1,2015-06-24,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
5422,1,2015-06-26,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
6054,1,2015-07-12,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
6231,1,2015-06-12,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
6702,1,2015-05-30,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
6961,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
8186,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
8651,1,2015-07-02,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
8925,1,2015-06-03,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
8984,1,2015-06-12,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
9044,1,2015-06-06,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
9530,1,2015-05-26,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Punnavalli",0
9779,1,2015-06-13,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
11328,1,2015-07-02,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
11629,1,2015-07-12,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
